GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7G001,A7G002,A7G003,A7G004,A7G005,A7G006,A7G007,A7G008,A7G009,A7G010,A7G011,A7G012,A7G013,A7G014,A7G015,A7G016,A7G017,A7G018,A7G019,A7G020,A7G021,A7G022,A7G023,A7G024,A7G025,A7G026,A7G027,A7G028,A7G029,A7G030,A7G031,A7G032,A7G033,A7G034,A7G035,A7G036,A7G037,A7G038,A7G039,A7G040,A7G041,A7G042,A7G043,A7G044,A7G045,A7G046,A7G047,A7G048,A7G049,A7G050,A7G051,A7G052,A7G053,A7G054,A7G055,A7G056,A7G057,A7G058,A7G059,A7G060,A7G061,A7G062,A7G063,A7G064,A7G065,A7G066,A7G067,A7G068,A7G069,A7G070,A7G071,A7G072,A7G073,A7G074,A7G075,A7G076,A7G077,A7G078,A7G079,A7G080,A7G081,A7G082,A7G083,A7G084,A7G085,A7G086,A7G087,A7G088,A7G089,A7G090,A7G091,A7G092,A7G093,A7G094,A7G095,A7G096,A7G097,A7G098,A7G099,A7G100,A7G101,A7G102,A7G103,A7G104,A7G105,A7G106,A7G107,A7G108,A7G109,A7H001
"G4201250","1916","Pennsylvania","420","Washington","1250","Washington","14","1250",0,0,0,0,0,0,0,0,0,1242,3527,0,0,0,0,0,20,0,0,0,0,0,0,0,33,3861,0,0,1862,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,702,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,35,0,0,0,0,0,9207,0,0,0,777,0,0,0,0,1126,0,0,0,0,0,0,0,13126,7479,585,0,0,0,0,24161,0,0,0,0,0,358,0,0,0,0,0,0,0,0,69868
"G4201270","1916","Pennsylvania","420","Wayne","1270","Wayne","14","1270",0,0,0,0,0,0,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,3955,0,0,0,183,0,0,0,0,597,0,0,0,0,0,0,0,1043,0,404,0,0,0,0,4595,0,0,0,0,0,143,0,0,0,0,0,0,0,0,13169
"G4201290","1916","Pennsylvania","420","Westmoreland","1290","Westmoreland","14","1290",0,0,0,0,0,0,0,0,0,390,3396,0,0,0,0,0,658,0,0,0,0,0,1295,0,0,1021,435,0,3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7741,2821,0,0,0,0,0,0,149,0,0,0,0,0,0,0,330,168,0,0,0,0,0,12062,0,0,0,128,0,0,0,0,2310,0,0,0,0,0,0,0,11304,3897,458,0,0,7336,0,52750,0,0,0,0,0,4763,0,1199,0,0,87,0,0,0,118048
"G4201310","1916","Pennsylvania","420","Wyoming","1310","Wyoming","14","1310",0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,0,8,0,0,0,0,153,0,0,0,0,0,0,0,497,0,35,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5075
"G4201330","1916","Pennsylvania","420","York","1330","York","14","1330",0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,1310,0,0,0,0,0,616,0,0,0,0,0,0,0,0,78,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,21077,0,0,0,0,0,0,524,0,0,0,0,0,0,0,109,300,0,0,0,0,0,4175,0,0,0,833,0,0,0,0,1684,0,0,0,0,0,0,0,3712,433,576,0,0,12870,0,4594,0,0,0,0,0,6245,0,5904,0,0,310,0,0,0,65735
"G4400010","1916","Rhode Island","440","Bristol","0010","Bristol","5","10",0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1354,0,0,0,0,10734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13377
"G4400030","1916","Rhode Island","440","Kent","0030","Kent","5","30",0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,940,0,0,0,0,17840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22566
"G4400050","1916","Rhode Island","440","Newport","0050","Newport","5","50",0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,260,0,2704,0,0,0,0,13727,0,0,0,0,600,0,0,0,0,0,0,0,0,0,21125
"G4400070","1916","Rhode Island","440","Providence","0070","Providence","5","70",0,0,4000,0,0,0,0,0,0,0,13217,0,0,0,0,0,0,0,0,0,0,0,0,0,8332,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5455,0,0,0,0,0,0,0,0,9351,0,0,0,0,0,0,0,909,0,14127,0,0,0,0,213915,0,0,0,0,812,0,0,0,1519,0,0,0,0,0,275081
"G4400090","1916","Rhode Island","440","Washington","0090","Washington","5","90",0,0,0,0,0,0,0,0,0,0,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11866
