GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BTV001,BTV002,BTV003,BTV004,BTV005,BTV006,BTV007,BTV008,BTV009,BTV010,BTV011,BTV012,BTV013,BTV014,BTV015,BTV016,BTV017,BTV018,BTV019,BTV020,BTV021,BTV022,BTV023,BTV024,BTV025,BTV026,BTV027,BTV028,BTV029,BTV030,BTV031,BTV032,BTV033,BTV034,BTV035,BTV036,BTV037,BTV038,BTV039,BTV040,BTV041,BTV042,BTV043,BTV044,BTV045,BTV046,BTV047,BTV048,BTV049,BTV050,BTV051,BTV052,BTV053,BTV054,BTV055,BTV056,BTV057,BTV058,BTV059,BTV060,BTV061,BTV062,BTV063,BTV064,BTV065,BTV066,BTV067,BTV068,BTV069,BTV070,BTV071,BTV072,BTV073,BTV074,BTW001
"G1900430","1936","Iowa","190","Clayton","0430","Clayton","31","430",0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,403,30,0,0,0,0,0,0,0,0,0,0,3048,78,0,0,0,1400,299,0,0,953,0,0,0,0,1417,0,0,0,0,0,58,0,0,0,0,4569,0,0,0,131,0,0,13004
"G1900450","1936","Iowa","190","Clinton","0450","Clinton","31","450",0,0,700,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,181,0,0,490,119,0,0,0,0,0,0,0,0,0,50,1791,346,0,0,0,309,2102,0,0,492,0,0,0,0,2374,0,0,0,0,0,45,0,737,0,0,7357,0,0,0,0,0,0,18197
"G1900470","1936","Iowa","190","Crawford","0470","Crawford","31","470",0,0,64,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,653,0,0,0,0,0,0,0,0,0,0,410,0,181,0,0,0,34,4162,0,0,0,0,0,0,0,1215,0,0,0,0,0,796,0,0,0,0,1748,0,0,0,0,0,0,9756
"G1900490","1936","Iowa","190","Dallas","0490","Dallas","31","490",0,0,1072,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,1320,0,0,0,0,0,0,0,0,0,233,0,0,0,56,94,0,0,0,0,0,483,0,0,0,0,0,0,0,4345,0,0,0,0,0,352,0,0,0,0,2121,0,0,0,572,0,0,11211
"G1900510","1936","Iowa","190","Davis","0510","Davis","31","510",0,0,391,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064
"G1900530","1936","Iowa","190","Decatur","0530","Decatur","31","530",0,0,627,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,217,0,21,0,0,173,0,0,0,0,0,0,3822
"G1900550","1936","Iowa","190","Delaware","0550","Delaware","31","550",0,0,157,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,76,0,0,0,0,289,0,0,0,0,0,0,0,1940,0,0,0,0,0,260,0,0,0,0,4007,0,0,0,67,0,0,9095
"G1900570","1936","Iowa","190","Des Moines","0570","Des Moines","31","570",0,0,969,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,550,0,0,2114,0,0,0,0,0,0,0,0,115,0,186,173,1077,0,0,0,0,56,0,0,1886,0,0,0,0,4114,0,0,0,0,0,893,150,348,0,0,3929,0,0,0,0,0,0,18021
"G1900590","1936","Iowa","190","Dickinson","0590","Dickinson","31","590",0,0,492,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,78,431,0,0,0,0,0,0,0,1155,0,0,0,0,0,140,0,0,0,0,815,0,0,0,0,0,0,3333
"G1900610","1936","Iowa","190","Dubuque","0610","Dubuque","31","610",0,0,157,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,0,0,0,187,261,0,0,0,0,0,0,0,275,0,0,1967,0,0,0,0,0,503,0,0,339,0,0,0,0,1684,0,0,0,0,0,1203,0,370,0,0,32342,0,0,0,0,0,0,41046
